"OK1020506","The Honorable Eddy Parker, Mayor_114 North Broadway","TECUMSEH","OK","74873"
"OK3006304","Mr. Darryl Fields, Superintendent_700 S. 9TH","TECUMSEH","OK","74873"
"OK2006306","Ms. Elaine Mullins, H.O.A. President_25269 Rainbow Ln","TECUMSEH","OK","74873"
"TX1260133","3245 FM 2135_","CLEBURNE","TX","76031-0164"
"CO0234390","257 TRUST DRIVE_","BAYFIELD","CO","81122"
"FL6290997","501 N MORGAN ST #200_","TAMPA","FL","33602"
"VT0005133","_13 LAKE STREET","ST ALBANS","VT","05478"
"TX1840004","202 HILLCROFT DR_","WEATHERFORD","TX","76087-6899"
"WA5352550","11205 SW Corbin Beach Road #2_","Vashion Island","WA","98070"
"WA5352590","14263 Calhoun Road_","Mount Vernon","WA","98273"
"CA2700766","_5730 BRIARCLIFF TERRACE","ROYAL OAKS","CA","95076"
"MO3190757","311 VANBUREN RD_","BRANSON","MO","65616-0000"
"WI2520184","333 4 1/2 MILE RD_","RACINE","WI","53402"
"FL5364145","2523 ESTERO BLVD_","FORT MYERS BEACH","FL","33902"
"WA5344240","100 Lakeside Drive West_","Mossyrock","WA","98564"
"OK3003202","Mr. Tim McConnell, Chairman_2021 Seran Dr.","WEWOKA","OK","74884"
"OK2006704","The Honorable Frank Shirley, Mayor_122 N. Broadway","KONAWA","OK","74899"
"MO3010130","437 W US HWY 54_","CAMDENTON","MO","65020-0000"
"VA1185047","656 Quail Drive_","BLUEFIELD","VA","24605"
"NY4100051","69 GILLIGAN ROAD_","EAST GREENBUSH","NY","12140"
"IA6403011","ATTN RHONDA GUY_1899 N 35TH AVE W","NEWTON","IA","50208"
"WI4690395","N2665 CTH Q_","KING","WI","54956"
"OR4105239","3151 NE TENNESSEE LANE_","PRINEVILLE","OR","97754"
"WA5352614","1230 Ruddell Rd. SE._","Lacey","WA","98503"
"WA5352957","1220 Lakeway Drive_","Bellingham","WA","98229"
"WA5353250","6912 Hannegan Rd, Suite 105_","Lynden","WA","98264"
"WA5353263","218406 E 397 #33_","Kennewick","WA","99337"
"OK4001117","Philip Hix, General Manager_18464 W. Jones Rd.","TAHLEQUAH","OK","74464"
"FL6581900","2496 SYLVIA LANE_","VENICE","FL","34292"
"FL6581901","401 W VENICE AVE_","VENICE","FL","34285"
"FL6581987","1 CATAMARAN DR_","SARASOTA","FL","34233"
"FL6582294","4636 TIPPECANOE TRAIL_","SARASOTA","FL","34233"
"FL3494427","951 MARTIN LUTHER KING BLVD_","KISSIMMEE","FL","34741-4929"
"WA5353365","21 Alder Pl_","Elma","WA","98541"
"WA5353820","11422 SR 530 NE_","Arlington","WA","98223"
"WA5342103","19115 Meadow Lake Rd_","Snohomish","WA","98290"
"NY1030013","HAMLET APARTMENTS_14 BURR ROAD","WEST PORT","CT","06880"
"GA1110000","480 W FIRST ST_","BLUE RIDGE","GA","30513"
"WA5350691","14263 Calhoun Rd_","Mount Vernon","WA","98273"
"SC3250077","157 NW COLUMBIA AVE_","CHAPIN","SC","29036-0418"
"083890002","308 Four Bears Complex_","NEW TOWN","ND","58763"
"083890003","308 Four Bears Complex_","NEW TOWN","ND","58763"
"083890015","308 Four Bears Complex_","NEW TOWN","ND","58763"
