"PR0455114","569, KM. 3.9 INT._BO. SABANA","OROCOVIS","PR","00720"
"PR0455294","566 KM. 1.8_BO. SALTOS","OROCOVIS","PR","00720"
"CA1500557","112 CAPISTRANO_","BAKERSFIELD","CA","93314"
"CA3310032","270 Bissell Place_","SAN JACINTO","CA","92583"
"CA1600293","11517 15th AVE_","LEMOORE","CA","93245"
"VA3830850","401 LAFAYETTE STREET_","WILLIAMSBURG","VA","23185"
"VA3001745","26367 Savageville Road_","ONANCOCK","VA","23417"
"VA3093220","9330 DINKY CIRCLE_","WINDSOR","VA","23487"
"NV0005057","435  JIGGS HIGHWAY UNIT 16_","SPRING CREEK","NV","89815"
"LA1027003","400 E. MAIN ST","HOMER","LA","71040"
"CA5200527","55 CAMINO ALTO_","MILLBRAE","CA","94030"
"CA5200551","974 N.W. MAHOGANY LN_","SILVERDALE","WA","98383"
"CA1900075","46472 Kings Canyon Road_","LANCASTER","CA","93536"
"CA5400567","2313 E. MORGAN_","EXETER","CA","93221"
"NM3575501","116","ALBUQUERQUE","NM","87131-3555"
"KS2000109","1171 ARKANSAS RD_","HUMBOLDT","KS","66748"
"IL1090300","411 EAST HICKORY_","INDUSTRY","IL","61440"
"IL0975575","3418 KEHM BOULEVARD","PARK CITY","IL","60085"
"CA2010002","1030 South Gateway Drive_","MADERA","CA","93637"
"CA1900913","29021 BOUQUET CANYON RD_","SAUGUS","CA","91390"
"FL3641444","2_6670 SIMS DRIVE","STERLING HEIGHTS","MI","48313"
"TX2360088","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX2370123","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1610137","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1700857","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1460179","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX2370111","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1460178","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1460175","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1460196","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1700864","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1011805","26926 FM 2978 RD_","MAGNOLIA","TX","77354-5148"
"TX1010924","711 LOUISIANA ST STE 2300_","HOUSTON","TX","77002-2770"
"TX0100041","2637 W 45TH ST_","AUSTIN","TX","78731-5941"
"TX1010872","2727 ALLEN PKWY STE 1100_","HOUSTON","TX","77019-2191"
